I, [2015-07-15T17:18:02.257706 #4880]  INFO -- : TestModule01_loginStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:18:02.786737 #4880]  INFO -- : 新加ExcelReport...
I, [2015-07-15T17:18:02.876742 #4880]  INFO -- : 打开网页http://10.10.12.10:8080/apex/login...
I, [2015-07-15T17:18:07.572010 #4880]  INFO -- : 


I, [2015-07-15T17:18:07.572010 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:18:07.572010 #4880]  INFO -- : Test01_001:wrong passwd.
I, [2015-07-15T17:18:07.572010 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:18:08.860084 #4880]  INFO -- : 输入密码123451...
I, [2015-07-15T17:18:10.197161 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:18:11.403230 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:18:14.079383 #4880]  INFO -- : <<===验证结果:true,username or passwd wrong,username or passwd wrong,username or passwd wrong
I, [2015-07-15T17:18:14.272394 #4880]  INFO -- : 


I, [2015-07-15T17:18:14.272394 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:18:14.272394 #4880]  INFO -- : Test01_002:wrong username.
I, [2015-07-15T17:18:14.272394 #4880]  INFO -- : 输入用户名sysadmin1...
I, [2015-07-15T17:18:15.575468 #4880]  INFO -- : 输入密码123451...
I, [2015-07-15T17:18:16.861542 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:18:18.035609 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:18:18.174617 #4880]  INFO -- : <<===验证结果:true,username or passwd wrong,username or passwd wrong,username or passwd wrong
I, [2015-07-15T17:18:18.320625 #4880]  INFO -- : 


I, [2015-07-15T17:18:18.320625 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:18:18.320625 #4880]  INFO -- : Test01_3:right username,right passwd.
I, [2015-07-15T17:18:18.320625 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:18:19.615699 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:18:20.902773 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:18:22.058839 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:18:24.884001 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:18:25.757051 #4880]  INFO -- : 退出浏览器...
I, [2015-07-15T17:18:30.987350 #4880]  INFO -- : TestModule01_loginOver<<<<<<<<<<<<<<<<<<<
I, [2015-07-15T17:18:30.987350 #4880]  INFO -- : TestModule02_functionStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:18:31.451376 #4880]  INFO -- : 打开已有ExcelReport...
I, [2015-07-15T17:18:31.452376 #4880]  INFO -- : 打开网页http://10.10.12.10:8080/apex/login...
I, [2015-07-15T17:18:35.854628 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:18:37.192705 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:18:38.477778 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:18:39.647845 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:18:42.985036 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:18:42.985036 #4880]  INFO -- : 


I, [2015-07-15T17:18:42.985036 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:18:42.985036 #4880]  INFO -- : test02_001-Add Function test
I, [2015-07-15T17:18:42.985036 #4880]  INFO -- : 点击Function主目录...
I, [2015-07-15T17:18:44.448120 #4880]  INFO -- : 点击Function页面中的MenuRoot跟节点...
I, [2015-07-15T17:18:45.745194 #4880]  INFO -- : addFunction输入信息...
I, [2015-07-15T17:18:53.148617 #4880]  INFO -- : ===>>开始验证Function信息：
I, [2015-07-15T17:18:53.909661 #4880]  INFO -- : 点击Function主目录...
I, [2015-07-15T17:18:55.476750 #4880]  INFO -- : 点击Function页面中的MenuRoot跟节点...
I, [2015-07-15T17:18:56.994837 #4880]  INFO -- : 查找Function...
I, [2015-07-15T17:19:04.116245 #4880]  INFO -- : <<===验证结果:true,Function info right,,
I, [2015-07-15T17:19:04.846286 #4880]  INFO -- : 


I, [2015-07-15T17:19:04.847286 #4880]  INFO -- : -------------------------------------------
I, [2015-07-15T17:19:04.847286 #4880]  INFO -- : test02_003-edit Function test
I, [2015-07-15T17:19:05.496324 #4880]  INFO -- : 点击Function主目录...
I, [2015-07-15T17:19:07.144418 #4880]  INFO -- : 点击Function页面中的MenuRoot跟节点...
I, [2015-07-15T17:19:08.480494 #4880]  INFO -- : 查找Function...
I, [2015-07-15T17:19:11.549670 #4880]  INFO -- : 编辑Function...
I, [2015-07-15T17:19:18.484066 #4880]  INFO -- : ===>>开始验证Function信息：
